nimi,email,omavalitsus,aadress,telefon
Kasti-Orgita Lasteaed,direktor@kastiorgita.ee,,,
Märjamaa Lasteaed Pillerpall,lasteaed.pillerpall@marjamaa.ee,,,
Tallinna Laagna Lasteaed-Põhikool,info@laagnakool.ee,,,+372  523 2741
Tallinna Rukkilille Lasteaed,rukkilille@la.tln.edu.ee,,"Õismäe tee, 70",+372 657 1548
Tapa Lasteaed Pisipõnn,lasteaed@pisiponn.ee,,"Nooruse, 11, Tapa",
Võru Lasteaed Päkapikk,lasteaed@pakapikk.ee,,,+372 782 8560
Iisaku Lasteaed Kurekell,kurekell@alutaguse.edu.ee,Iisaku alevik,"Tartu mnt, 56, Iisaku alevik",
Juuru Lasteaed Sinilill,sinilill@rapla.ee,Juuru alevik,"Muuseumi, 3, Juuru alevik",
Kohtla-Järve Lasteaed Tuhkatriinu,tuhkatriinu@kjlv.ee,Kohtla-Järve,"Ridaküla, 24, Kohtla-Järve",
Tuleviku Lasteaed,info@tulevikulasteaed.ee,Laagri alevik,"Tuleviku, 3, Laagri alevik",
Lasva Lasteaed Pargihaldjas,lasvalasteaed@edu.voruvald.ee,Lasva küla,"Palo tee, 32, Lasva küla",
Loksa Lasteaed Õnnetriinu,lasteaed@loksa.ee,Loksa,"Lasteaia, 3, Loksa",+372 622 9187
Eco Planet,info@ecolasteaed.ee,Maardu,"Paelrohu tee, 1B, Maardu",
Narva Lasteaed Cipollino,cipollino@narvakultuur.ee,Narva,"Kivilinna, 11, Narva",
Narva Lasteaed Muinasjutt,muinasjutt.narva@gmail.com,Narva,"Aleksander Puškini, 13a, Narva",+372 3591268
Narva Lasteaed Pingviin,pingviin33@gmail.com,Narva,"Mõisa, 1a, Narva",
Narva Lasteaed Punamütsike,punamutsike18@gmail.com,Narva,"Kreenholmi, 8a, Narva",+372 3560543
Narva Lasteaed Pääsuke,paasuke@narvakultuur.ee,Narva,"Pimeaia, 1, Narva",+372 3591811
Narva Lasteaed Põngerjas,narvapongerjas27@gmail.com,Narva,"Vassili Gerassimovi, 18a, Narva",+372 56483791
Narva Lasteaed Vikerkaar,narvavikerkaar@online.ee,Narva,"Kangelaste prospekt, 21, Narva",+372 3592772; +372 3542954
Narva lasteaed Potsataja,lasteaedpotsataja@hotmail.com,Narva,"Tallinna mnt, 50, Narva",+372 354 9969
Narva lasteaed Päikene,narvapaikene@hot.ee,Narva,"Hariduse, 11, Narva",+372 35 45979
Pajusti Lasteaed Tõrutõnn,lasteaed.torutonn@vinnivald.ee,Pajusti alevik,"Tartu mnt, 9, Pajusti alevik",
"Ramsi Lasteaed ""Taruke""",taruke@taruke.ee,Ramsi alevik,"Keskuse tee, 3, Ramsi alevik",
Rapla Lasteaed Kelluke,kelluke@kelluke.edu.ee,Rapla,"Palli, 3, Rapla",+372 4855454
Rapla Lasteaed Naksitrallid,lasteaed.naksitrallid@gmail.com,Rapla,"Võsa, 24, Rapla",
Edu Valem Lasteaed,info@eraharidus.ee,Tallinn,"Pallasti, 41, Tallinn",+372 58 20 00 22
Kadrioru Lasteaed,kadrioru@la.tln.edu.ee,Tallinn,"Lydia Koidula, 20a, Tallinn",+372 601 3168
Kalamaja Lasteaed,kalamaja@la.tln.edu.ee,Tallinn,"Vana-Kalamaja, 28a, Tallinn",+372 641 3656
Kolde Lasteaed,kolde@kolde.edu.ee,Tallinn,"Timuti, 24, Tallinn",+372 673 8778
Kopli Lasteaed,info@kopli.edu.ee,Tallinn,"Kopli, 104, Tallinn",+372 662 5913
Lasteaed Kajakas,info@kajakasla.edu.ee,Tallinn,"Madala, 13, Tallinn",+372 661 5553
Lasteaed Kelluke,kelluke@la.tln.edu.ee,Tallinn,"Uus-Kalamaja, 6, Tallinn",+372 641 3288
Lasteaed Maasikas,maasikas@la.tln.edu.ee,Tallinn,"Vasara, 18, Tallinn",+372 662 8787
Lasteaed Naeratus,naeratus@la.tln.edu.ee,Tallinn,"Niidi põik, 4, Tallinn",+372 662 7974
Lasteaed Ojake,ojake@la.tln.edu.ee,Tallinn,"Ädala, 3, Tallinn",+372 673 8269
Lasteaed Päikene,paikene@la.tln.edu.ee,Tallinn,"Sõle, 39a, Tallinn",+372 602 0638
Lasteaed Pääsupesa,info@paasupesa.edu.ee,Tallinn,"Puhangu, 57, Tallinn",+372 601 9398
Lasteaed Rukkirääk,rukkiraak@la.tln.edu.ee,Tallinn,"Rukki, 17, Tallinn",+372 601 8295
Lastesõim Planeedi Mudila,lastesoim@planeedi.edu.ee,Tallinn,"Planeedi, 16, Tallinn",+372 646 2911
Lastesõim Päkapikk,pakapikk@pakapikk.edu.ee,Tallinn,"Lõime, 9, Tallinn",+372 661 8018
Merivälja Lasteaed,meripohi@meripohi.edu.ee,Tallinn,"Haaviku tee, 10, Tallinn",+372 6232234
Pelguranna Lasteaed,direktor@pelgurannala.edu.ee,Tallinn,"Pelguranna, 49, Tallinn",+372 601 9088
Pirita Kose Lasteaed,piritakose@la.tln.edu.ee,Tallinn,"Kose tee, 58, Tallinn",+372 623 7833
Pirita Lasteaed,pirita@piritalasteaed.ee,Tallinn,"Eduard Bornhöhe tee, 10, Tallinn",+372 623 8783
Rõõmutarekese Lasteaed,info@roomu.edu.ee,Tallinn,"Toom-Kuninga, 13a, Tallinn",+372 662 1377
Sitsi Lasteaed,sitsi@la.tln.edu.ee,Tallinn,"Vihuri, 3, Tallinn",+372 601 9638
Taime Lasteaed,taime@la.tln.edu.ee,Tallinn,"Taime, 27, Tallinn",+372 602 0279
Tallinna Allika Lasteaed,juhataja@allika.edu.ee,Tallinn,"Juhan Sütiste tee, 7, Tallinn",+372 652 1340
