nimi,telefon,direktor_telefon,email,direktor_email,omavalitsus,aadress,reg_kood,veebileht
Kasti-Orgita Lasteaed,,,direktor@kastiorgita.ee,,,,,
Lastehoid kaheksajalg,+3725029965,,,,,,,
Linnamäe lasteaed,+3724795425,,,,,"Kooli tee, 10",,
Märjamaa Lasteaed Pillerpall,,,lasteaed.pillerpall@marjamaa.ee,,,,,https://xn--mrjamaalasteaedpillerpall-lec.ee/
Mõmmipesa Lastehoid,+37254575521,,,,,,,http://mõmmipesa.eu/
Nõlvaku Lasteaed,+37253079131,,,,,"Kaselaane tn, 1",,
Palivere lasteaed Piibeleht,+3724724206,,,,,,,https://www.laanenigula.ee/palivere-lasteaed
Saku Lasteaed Päikesekild,+3726728722,,,,,,,
Tallinna Laagna Lasteaed-Põhikool,+3726322795,+3726322681,info@laagnakool.ee,,,,75016875,https://laagnakool.ee
Tallinna Lasteaed Naksitrallid,+3723464448,+3723464448,parje.ylavere@naksitrall.edu.ee,,,,77001429,https://www.tallinn.ee/est/naksitrallid/
Tallinna Rukkilille Lasteaed,+3726571548,+3726571548,rukkilille@la.tln.edu.ee,direktor@rukkilille.edu.ee,,"Õismäe tee, 70",75019218,https://www.tallinn.ee/rukkilille-lasteaed
Võru Lasteaed Päkapikk,+3727828560,,lasteaed@pakapikk.ee,,,,,https://pakapikk.ee/
Järvapesa Lasteaed,73502,,,,Ambla alevik,"Pikk, 37, Ambla alevik",,https://jarvavald.ee/haridus-kultuur-sport-ja-noored/haridus-ja-noored/koolid-ja-lasteaiad/jarvapesa-lasteaed/
Iisaku Lasteaed Kurekell,,,kurekell@alutaguse.edu.ee,,Iisaku alevik,"Tartu mnt, 56, Iisaku alevik",,https://www.kurekell.ee/
Juuru Lasteaed Sinilill,,,sinilill@rapla.ee,,Juuru alevik,"Muuseumi, 3, Juuru alevik",,https://raplasinilill.wordpress.com/
Kohtla-Järve Lasteaed Tuhkatriinu,,,tuhkatriinu@kjlv.ee,,Kohtla-Järve,"Ridaküla, 24, Kohtla-Järve",,https://www.tuhkatriinu.edu.ee/et/
Krootuse Lasteaed Pesapuu,+37253034484,,,,Krootuse küla,"Kooli, 1, Krootuse küla",,https://kanepi.kovtp.ee/krootuse-lasteaed
Kärdla Lasteaed,+3724632125,,,,Kärdla,"Kalda, 11, Kärdla",,http://lasteaed.hiiumaa.ee/
Tuleviku Lasteaed,,,info@tulevikulasteaed.ee,,Laagri alevik,"Tuleviku, 3, Laagri alevik",,https://www.tulevikulasteaed.ee/
Lasva Lasteaed Pargihaldjas,,,lasvalasteaed@edu.voruvald.ee,,Lasva küla,"Palo tee, 32, Lasva küla",,https://pargihaldjas.ee/
Loksa Lasteaed Õnnetriinu,+3726229187,,lasteaed@loksa.ee,,Loksa,"Lasteaia, 3, Loksa",,https://www.loksalinn.ee/loksa-lasteaed-onnetriinu
Eco Planet,,,info@ecolasteaed.ee,,Maardu,"Paelrohu tee, 1B, Maardu",,
Muuga Lasteaed,+3726609603,,,,Maardu,"Ploomipuu pst, 52/54, Maardu",,https://www.muugalasteaed.ee/
Käoke (№ 38),+3723544355,,,,Narva,"Kangelaste prospekt, 38, Narva",,https://kaoke.ee/
Narva Lasteaed Cipollino,,,cipollino@narvakultuur.ee,,Narva,"Kivilinna, 11, Narva",,http://lasteaiad.narvakultuur.ee/cipollino/et/avaleht
Narva Lasteaed Muinasjutt,+3723591268,,muinasjutt.narva@gmail.com,,Narva,"Aleksander Puškini, 13a, Narva",,http://lasteaiad.narvakultuur.ee/
Narva Lasteaed Pingviin,,,pingviin33@gmail.com,,Narva,"Mõisa, 1a, Narva",,http://lasteaiad.narvakultuur.ee/pingviin/et/avaleht
Narva Lasteaed Punamütsike,+3723560543,,punamutsike18@gmail.com,,Narva,"Kreenholmi, 8a, Narva",,http://punamutsike.narvakultuur.ee/
Narva Lasteaed Pääsuke,+3723591811,,paasuke@narvakultuur.ee,,Narva,"Pimeaia, 1, Narva",,http://paasuke.narvakultuur.ee/
Narva Lasteaed Põngerjas,+37256483791,,narvapongerjas27@gmail.com,,Narva,"Vassili Gerassimovi, 18a, Narva",,http://pongerjas.ee/
Narva Lasteaed Sädemeke,+3723573423,,,,Narva,"Pähklimäe, 5, Narva",,http://lasteaiad.narvakultuur.ee/sademeke/et/avaleht
Narva Lasteaed Tareke,+3723549980,,,,Narva,"Soldina, 16, Narva",,http://lasteaiad.narvakultuur.ee/tareke/et/avaleht
Narva Lasteaed Vikerkaar,+37235927723723542954,,narvavikerkaar@online.ee,,Narva,"Kangelaste prospekt, 21, Narva",,http://vikerkaar.narvakultuur.ee/
Narva Vanalinna Lasteaed,+3723560543,,,,Narva,"Hariduse, 10, Narva",,http://punamutsike.narvakultuur.ee
Narva lasteaed Potsataja,+3723549969,,lasteaedpotsataja@hotmail.com,,Narva,"Tallinna mnt, 50, Narva",,https://potsataja.edu.ee/
Narva lasteaed Päikene,+3723545979,,narvapaikene@hot.ee,,Narva,"Hariduse, 11, Narva",,http://paikene64.ee
Nõo lasteaed Krõll,+3727455185,,,,Nõo alevik,"Lasteaia, 2, Nõo alevik",,http://www.krollipere.eu
PAIde Lasteaed Lillepai maja,+3726988921,,,,Paide,"Tallinna, 49, Paide",,https://www.pailasteaed.ee/
Paide Sookure Lasteaed,+3723850770,,,,Paide,"Soo, 16, Paide",,https://sookure.edu.ee/
Pajusti Lasteaed Tõrutõnn,,,lasteaed.torutonn@vinnivald.ee,,Pajusti alevik,"Tartu mnt, 9, Pajusti alevik",,
"Ramsi Lasteaed ""Taruke""",,,taruke@taruke.ee,,Ramsi alevik,"Keskuse tee, 3, Ramsi alevik",,https://taruke.ee/
Rapla Lasteaed Kelluke,+3724855454,,kelluke@kelluke.edu.ee,,Rapla,"Palli, 3, Rapla",,https://www.kelluke.edu.ee/
Rapla Lasteaed Naksitrallid,,,lasteaed.naksitrallid@gmail.com,,Rapla,"Võsa, 24, Rapla",,https://naksitrallid.rapla.ee/index.php?option=com_content&view=article&id=39&Itemid=14
Edu Valem Lasteaed,,,info@eraharidus.ee,,Tallinn,"Pallasti, 41, Tallinn",80148142,https://eraharidus.ee
Kadrioru Lasteaed,+3726013168,,kadrioru@la.tln.edu.ee,,Tallinn,"Lydia Koidula, 20a, Tallinn",,https://www.tallinn.ee/kadrioru-lasteaed/
Kalamaja Lasteaed,+3726413656,+3726413656,kalamaja@kalamaja.edu.ee,,Tallinn,"Vana-Kalamaja, 28a, Tallinn",75017432,https://www.tallinn.ee/kalamaja-lasteaed
Kolde Lasteaed,+3726738778,+3726738778,kolde@kolde.edu.ee,,Tallinn,"Timuti, 24, Tallinn",75017449,https://www.kolde.edu.ee
Kopli Lasteaed,,,info@kopli.edu.ee,,Tallinn,"Kopli, 104, Tallinn",75017455,https://www.tallinn.ee/et/koplilasteaed
Lasteaed Kajakas,+3726615553,+3726615553,direktor@kajakas.edu.ee,direktor@kajakas.edu.ee,Tallinn,"Madala, 13, Tallinn",75017461,http://www.tallinn.ee/est/lasteaed-kajakas/
Lasteaed Kelluke,+3726413288,+3726413288,kellukese@kellukese.edu.ee,direktor@kellukese.edu.ee,Tallinn,"Uus-Kalamaja, 6, Tallinn",75017478,https://www.tallinn.ee/kelluke/
Lasteaed Maasikas,+3726628787,+3726628787,maasikas@maasikas.edu.ee,direktor@maasikas.edu.ee,Tallinn,"Vasara, 18, Tallinn",75017484,http://www.tallinn.ee/est/maasikas/
Lasteaed Mesipuu,+3726217080,+3726217080,mesipuu@mesipuu.edu.ee,direktor@mesipuu.edu.ee,Tallinn,,75017840,https://www.tallinn.ee/est/mesipuu/
Lasteaed Naeratus,+3723046910,+3723046910,direktor@naeratus.edu.ee,direktor@naeratus.edu.ee,Tallinn,"Niidi põik, 4, Tallinn",75017863,https://www.tallinn.ee/et/naeratus
Lasteaed Ojake,+3726738424,+3726738424,ojake@ojake.edu.ee,,Tallinn,"Ädala, 3, Tallinn",75017873,http://www.tallinn.ee/est/lasteaed-ojake/
Lasteaed Päikene,+3723839707,+3723839707,paikene@la.tln.edu.ee,,Tallinn,"Sõle, 39a, Tallinn",75017892,https://www.lasteaedpaikene.ee
Lasteaed Pääsupesa,+3726019398,+3726019398,paasupesa@paasupesa.edu.ee,,Tallinn,"Puhangu, 57, Tallinn",75017900,https://www.tallinn.ee/est/paasupesa/
Lasteaed Rukkirääk,+3726018295,+3726018295,rukkiraak@la.tln.edu.ee,,Tallinn,"Rukki, 17, Tallinn",75017917,http://www.tallinn.ee/est/rukkiraak/
Lastesõim Planeedi Mudila,+3726462911,,lastesoim@planeedi.edu.ee,,Tallinn,"Planeedi, 16, Tallinn",,https://www.tallinn.ee/planeedimudila/
Lastesõim Päkapikk,+3726618018,,pakapikk@pakapikk.edu.ee,,Tallinn,"Lõime, 9, Tallinn",,https://www.pakapikk.tln.edu.ee/
Merivälja Lasteaed,+37256156691,+37257807999,merivalja@merivalja.edu.ee,,Tallinn,"Haaviku tee, 10, Tallinn",75017567,https://www.tallinn.ee/est/merivaljalasteaed/
Pelguranna Lasteaed,+3726019088,+3726020897,direktor@pelgurannala.edu.ee,direktor@pelgurannala.edu.ee,Tallinn,"Pelguranna, 49, Tallinn",75017952,http://www.tallinn.ee/est/pelguranna-lasteaed/
Pirita Kose Lasteaed,+3726237833,+3726237833,direktor@piritakose.edu.ee,direktor@piritakose.edu.ee,Tallinn,"Kose tee, 58, Tallinn",75017573,http://www.tallinn.ee/pirita-kose-lasteaed/
Pirita Lasteaed,+3726238783,+3726238783,pirita@piritalasteaed.ee,,Tallinn,"Eduard Bornhöhe tee, 10, Tallinn",75017580,https://www.tallinn.ee/pirita-lasteaed/
Rõõmutarekese Lasteaed,+3726621377,+3723919171,roomutarekese@roomu.edu.ee,,Tallinn,"Toom-Kuninga, 13a, Tallinn",75018093,https://www.tallinn.ee/et/roomutareke
Sitsi Lasteaed,+3726019638,+3726019638,sitsi@sitsi.edu.ee,direktor@sitsi.edu.ee,Tallinn,"Vihuri, 3, Tallinn",75017969,https://www.tallinn.ee/est/sitsi-lasteaed/
Taime Lasteaed,+3726020279,+3726020279,direktor@taime.edu.ee,direktor@taime.edu.ee,Tallinn,"Taime, 27, Tallinn",75017975,https://www.tallinn.ee/et/taime
Tallinna Allika Lasteaed,+3726521340,+3726521340,allika@allika.edu.ee,direktor@allika.edu.ee,Tallinn,"Juhan Sütiste tee, 7, Tallinn",75019000,https://www.tallinn.ee/est/allika/
Tallinna Arbu Lasteaed,+3726350392,+3726350392,arbu@arbu.edu.ee,,Tallinn,"Arbu, 15, Tallinn",75016993,http://www.tallinn.ee/arbu/
